name,year_period,year,recclass,continent,country,mass_cleaned,mass_bin,recclass_clean,fall,reclat,reclong
Aachen,19th Century,1880.0,L5,Europe,Belgium,21.0,10-100g,L5,Fell,50.775,6.08333
Aarhus,20th Century,1951.0,H6,Europe,Denmark,720.0,100-1kg,H6,Fell,56.18333,10.23333
Abee,20th Century,1952.0,EH4,North America,Canada,50369.99999999971,>10kg,H4,Fell,54.21667,-113.0
Acapulco,20th Century,1976.0,Acapulcoite,North America,Mexico,1914.0,1-10kg,OTHER,Fell,16.88333,-99.9
Achiras,20th Century,1902.0,L6,South America,Argentina,780.0,100-1kg,L6,Fell,-33.16667,-64.95
Adhi Kot,20th Century,1919.0,EH4,Asia,Pakistan,4239.0,1-10kg,H4,Fell,32.1,71.8
Adzhi-Bogdo (stone),20th Century,1949.0,LL3-6,Asia,Mongolia,910.0,100-1kg,L3,Fell,44.83333,95.16667
Agen,19th Century,1814.0,H5,Europe,France,30000.0,>10kg,H5,Fell,44.21667,0.61667
Aguada,20th Century,1930.0,L6,South America,Argentina,1620.0,1-10kg,L6,Fell,-31.6,-65.23333
Aguila Blanca,20th Century,1920.0,L,South America,Argentina,1440.0,1-10kg,OTHER,Fell,-30.86667,-64.55
Aioun el Atrouss,20th Century,1974.0,Diogenite-pm,Africa,Mauritania,1000.0,100-1kg,ACHONDRITE,Fell,16.39806,-9.57028
Aïr,20th Century,1925.0,L6,Africa,Niger,24000.0,>10kg,L6,Fell,19.08333,8.38333
Aire-sur-la-Lys,Ancient,1769.0,Unknown,Europe,France,32.6,10-100g,OTHER,Fell,50.66667,2.33333
Akaba,20th Century,1949.0,L6,Asia,Jordan,779.0,100-1kg,L6,Fell,29.51667,35.05
Akbarpur,19th Century,1838.0,H4,Asia,India,1800.0,1-10kg,H4,Fell,29.71667,77.95
Akwanga,20th Century,1959.0,H,Africa,Nigeria,3000.0,1-10kg,OTHER,Fell,8.91667,8.43333
Akyumak,20th Century,1981.0,"Iron, IVA",Asia,Turkey,50000.0,>10kg,IRON,Fell,39.91667,42.81667
Al Rais,20th Century,1957.0,CR2-an,Asia,Saudi Arabia,160.0,100-1kg,CARBONACEOUS,Fell,24.41667,39.51667
Al Zarnkh,21st Century,2001.0,LL5,Africa,Sudan,700.0,100-1kg,L5,Fell,13.66033,28.96
Alais,19th Century,1806.0,CI1,Europe,France,6000.0,1-10kg,CARBONACEOUS,Fell,44.11667,4.08333
Albareto,Ancient,1766.0,L/LL4,Europe,Italy,2000.0,1-10kg,L4,Fell,44.65,11.01667
Alberta,20th Century,1949.0,L,Africa,Democratic Republic of the Congo,625.0,100-1kg,OTHER,Fell,2.0,22.66667
Alby sur Chéran,21st Century,2002.0,Eucrite-mmict,Europe,France,252.0,100-1kg,ACHONDRITE,Fell,45.82133,6.01533
Aldsworth,19th Century,1835.0,LL5,Europe,United Kingdom,700.0,100-1kg,L5,Fell,51.78333,-1.78333
Aleppo,19th Century,1873.0,L6,Asia,Syria,3200.0,1-10kg,L6,Fell,36.23333,37.13333
Alessandria,19th Century,1860.0,H5,Europe,Italy,908.0,100-1kg,H5,Fell,44.88333,8.75
Alexandrovsky,20th Century,1900.0,H4,Europe,Ukraine,9251.0,1-10kg,H4,Fell,50.95,31.81667
Alfianello,19th Century,1883.0,L6,Europe,Italy,50369.99999999971,>10kg,L6,Fell,45.26667,10.15
Allegan,19th Century,1899.0,H5,North America,United States of America,32000.0,>10kg,H5,Fell,42.53333,-85.88333
Allende,20th Century,1969.0,CV3,North America,Mexico,50369.99999999971,>10kg,CARBONACEOUS,Fell,26.96667,-105.31667
